SCP, SCP_REFERENCE_N, N_OF_OCCUR
915, 915, 6
916, 916, 17
917, 917, 16
918, 918, 11
919, 919, 21
920, 920, 24
921, 921, 11
922, 922, 18
923, 923, 19
924, 924, 14
925, 925, 11
926, 926, 9
927, 927, 18
928, 928, 25
929, 929, 23
930, 930, 10
931, 931, 2
932, 932, 26
933, 933, 2
934, 934, 10
935, 935, 38
936, 936, 14
937, 937, 18
938, 938, 23
939, 939, 29
940, 940, 21
941, 941, 21
942, 942, 4
943, 943, 7
944, 944, 18
945, 945, 16
946, 946, 10
947, 947, 11
948, 948, 35
949, 949, 12
950, 950, 5
951, 951, 30
952, 952, 15
953, 953, 24
954, 954, 17
955, 955, 20
956, 956, 20
957, 957, 18
958, 958, 5
959, 959, 20
959, 500, 1
960, 960, 16
961, 961, 18
961, 877, 1
962, 962, 15
963, 963, 3
964, 964, 23
965, 965, 25
966, 966, 17
967, 967, 18
968, 968, 22
969, 969, 25
970, 970, 6
971, 971, 14
972, 972, 19
973, 973, 10
974, 974, 31
975, 975, 6
976, 976, 20
977, 977, 9
978, 978, 13
979, 979, 24
980, 980, 20
981, 981, 4
982, 982, 14
983, 983, 27
984, 984, 20
985, 985, 12
986, 986, 25
987, 987, 4
988, 988, 13
989, 989, 21
990, 990, 18
991, 991, 9
992, 992, 24
993, 993, 11
994, 994, 25
995, 995, 21
996, 996, 13
997, 997, 18
998, 998, 14
999, 999, 30
999, 682, 15
1000, 1000, 39
1001, 1001, 13
1002, 1002, 12
1003, 1003, 4
1004, 1004, 2
1005, 1005, 27
1006, 1006, 14
1007, 1007, 9
1008, 1008, 14
1009, 1009, 17
1010, 1010, 37
1011, 1011, 11
1012, 1012, 11
1013, 1013, 43
1014, 1014, 14
1015, 1015, 3
1016, 1016, 12
1017, 1017, 7
1018, 1018, 12
1019, 1019, 7
1020, 1020, 15
1021, 1021, 10
1022, 1022, 22
1023, 1023, 13
1024, 1024, 9
1025, 1025, 8
1026, 1026, 16
1027, 1027, 26
1028, 1028, 10
1029, 1029, 17
1030, 1030, 2
1031, 1031, 10
1032, 1032, 12
1033, 1033, 22
1034, 1034, 26
1035, 1035, 26
1035, 500, 1
1036, 1036, 10
1037, 1037, 27
1038, 1038, 11
1039, 1039, 50
1040, 1040, 17
1041, 1041, 17
1042, 1042, 13
1043, 1043, 10
1043, 1018, 1
1043, 836, 1
1044, 1044, 8
1045, 1045, 9
1046, 1046, 14
1047, 1047, 5
1048, 1048, 20
1049, 1049, 16
1050, 1050, 7
1051, 1051, 34
1052, 1052, 17
1053, 1053, 16
1054, 1054, 7
1055, 1055, 31
1056, 1056, 13
1057, 1057, 10
1058, 1058, 12
1059, 1059, 18
1060, 1060, 6
1061, 1061, 24
1062, 1062, 7
1063, 1063, 17
1064, 1064, 17
1065, 1065, 8
1066, 1066, 11
1067, 1067, 15
1068, 1068, 13
1069, 1069, 6
1070, 1070, 19
1071, 1071, 16
1072, 1072, 8
1073, 1073, 3
1074, 1074, 24
1075, 1075, 8
1076, 1076, 12
1077, 1077, 46
1078, 1078, 47
1079, 1079, 7
1080, 1080, 12
1081, 1081, 10
1082, 1082, 18
1083, 1083, 11
1084, 1084, 7
1085, 1085, 15
1086, 1086, 15
1087, 1087, 11
1088, 1088, 10
1089, 1089, 9
1090, 1090, 10
1091, 1091, 15
1092, 1092, 19
1093, 1093, 36
1094, 1094, 18
1095, 1095, 30
1096, 1096, 9
1097, 1097, 39
1098, 1098, 12
1099, 1099, 2
1100, 1100, 34
1101, 1101, 29
1102, 1102, 6
1103, 1103, 7
1104, 1104, 19
1105, 1105, 9
1106, 1106, 10
1107, 1107, 15
1108, 1108, 8
1109, 1109, 25
1110, 1110, 19
1111, 1111, 3
1112, 1112, 8
1113, 1113, 5
1114, 1114, 26
1115, 1115, 36
1116, 1116, 12
1117, 1117, 4
1118, 1118, 22
1119, 1119, 19
1120, 1120, 35
1121, 1121, 13
1122, 1122, 15
1123, 1123, 23
1124, 1124, 30
1125, 1125, 20
1126, 1126, 20
1127, 1127, 16
1128, 1128, 13
1129, 1129, 31
1130, 1130, 14
1131, 1131, 19
1132, 1132, 12
1133, 1133, 12
1134, 1134, 7
1135, 1135, 28
1136, 1136, 10
1137, 1137, 16
1138, 1138, 12
1139, 1139, 17
1139, 444, 4
1139, 1206, 2
1140, 1140, 6
1141, 1141, 13
1142, 1142, 14
1143, 1143, 19
1144, 1144, 18
1145, 1145, 23
1146, 1146, 42
1147, 1147, 10
1148, 1148, 17
1149, 1149, 26
1150, 1150, 34
1151, 1151, 13
1152, 1152, 27
1153, 1153, 24
1154, 1154, 13
1155, 1155, 30
1156, 1156, 21
1157, 1157, 37
1158, 1158, 12
1159, 1159, 8
1160, 1160, 25
1161, 1161, 14
1162, 1162, 5
1163, 1163, 47
1164, 1164, 8
1165, 1165, 25
1166, 1166, 29
1167, 1167, 21
1168, 1168, 16
1168, 1800, 1
1169, 1169, 6
1170, 1170, 2
1171, 1171, 5
1172, 1172, 5
1173, 1173, 27
1174, 1174, 4
1175, 1175, 5
1176, 1176, 24
1177, 1177, 19
1178, 1178, 23
1179, 1179, 39
1180, 1180, 8
1181, 1181, 47
1182, 1182, 8
1183, 1183, 15
1184, 1184, 36
1185, 1185, 10
1186, 1186, 21
1187, 1187, 12
1188, 1188, 24
1189, 1189, 28
1190, 1190, 26
1191, 1191, 22
1192, 1192, 16
1193, 1193, 3
1194, 1194, 7
1195, 1195, 20
1196, 1196, 14
1197, 1197, 32
1198, 1198, 9
1199, 1199, 4
1200, 1200, 11
1201, 1201, 24
1202, 1202, 15
1203, 1203, 27
1204, 1204, 23
1205, 1205, 7
1206, 1206, 12
1207, 1207, 19
1208, 1208, 7
1209, 1209, 12
1210, 1210, 8
1211, 1211, 13
1212, 1212, 13
1213, 1213, 18
1214, 1214, 16
1215, 1215, 21
1216, 1216, 23
1217, 1217, 8
1218, 1218, 4
1219, 1219, 19
1220, 1220, 16
1221, 1221, 15
1222, 1222, 12
1223, 1223, 17
1224, 1224, 6
1225, 1225, 14
1226, 1226, 15
1227, 1227, 43
1228, 1228, 12
1229, 1229, 15
1230, 1230, 21
1231, 1231, 24
1232, 1232, 19
1233, 1233, 40
1234, 1234, 38
1235, 1235, 26
1236, 1236, 4
1237, 1237, 23
1238, 1238, 32
1239, 1239, 11
1240, 1240, 2
1241, 1241, 15
1242, 1242, 26
1243, 1243, 17
1244, 1244, 13
1245, 1245, 18
1246, 1246, 19
1247, 1247, 70
1248, 1248, 8
1249, 1249, 11
1250, 1250, 4
1251, 1251, 22
1252, 1252, 21
1253, 1253, 4
1254, 1254, 17
1255, 1255, 33
1256, 1256, 12
1257, 1257, 28
1258, 1258, 24
1259, 1259, 23
1260, 1260, 31
1261, 1261, 17
1262, 1262, 25
1263, 1263, 9
1264, 1264, 19
1265, 1265, 21
1266, 1266, 17
1267, 1267, 34
1268, 1268, 16
1269, 1269, 22
1270, 1270, 7
1271, 1271, 27
1272, 1272, 2
1273, 1273, 16
1274, 1274, 9
1275, 1275, 21
1276, 1276, 7
1277, 1277, 16
1278, 1278, 15
1279, 1279, 13
1280, 1280, 7
1281, 1281, 14
1282, 1282, 16
1283, 1283, 13
1284, 1284, 3
1285, 1285, 8
1286, 1286, 21
1287, 1287, 14
1288, 1288, 9
1289, 1289, 6
1290, 1290, 10
1291, 1291, 25
1292, 1292, 7
1293, 1293, 25
1294, 1294, 35
1295, 1295, 9
1296, 1296, 11
1296, 1545, 3
1297, 1297, 25
1298, 1298, 7
1299, 1299, 26
1300, 1300, 18
1301, 1301, 2
1302, 1302, 5
1303, 1303, 11
1304, 1304, 20
1305, 1305, 18
